File,A,B,C,Magnitude,SLOC,PLOC,LLOC
CsvReaderExample.java,11,91,12,92.445,150,124,44
CsvWriterExample.java,3,43,5,43.394,89,73,23
InfiniteDataReader.java,5,3,2,6.164,36,26,10
NullWriter.java,3,6,1,6.782,43,30,8
FastCsvWriteBenchmark.java,1,6,0,6.083,41,30,3
Constants.java,0,0,0,0.000,29,18,0
FastCsvReadBenchmark.java,1,6,0,6.083,39,28,3
Util.java,0,0,0,0.000,12,8,1
UnwritableWriter.java,0,3,0,3.000,23,17,3
LineDelimiterTest.java,0,19,0,19.000,31,23,9
CsvWriterTest.java,2,176,1,176.014,269,218,74
UnreadableReader.java,0,2,0,2.000,18,13,2
GenericDataTest.java,0,21,4,21.378,48,39,6
CsvReaderLargerDataTest.java,4,23,1,23.367,56,47,17
InfiniteDataReader.java,5,3,2,6.164,36,26,10
DataProvider.java,11,30,5,32.342,116,95,30
CloseStatusReader.java,2,2,0,2.828,30,22,5
NamedCsvReaderBuilderTest.java,2,65,1,65.038,106,86,20
CharacterConv.java,5,19,8,21.213,58,48,19
UncloseableReader.java,1,2,0,2.236,24,17,3
CsvReaderTest.java,30,324,8,325.484,446,340,155
NamedCsvReaderTest.java,11,178,4,178.384,253,196,80
CsvReaderBuilderTest.java,2,65,1,65.038,112,92,20
CachingWriterTest.java,6,25,3,25.884,58,43,20
RowHandlerTest.java,0,7,0,7.000,23,17,6
LineDelimiter.java,1,5,3,5.916,58,27,9
QuoteStrategy.java,0,0,0,0.000,33,6,0
package-info.java,0,0,0,0.000,6,1,0
CsvWriter.java,51,88,56,116.108,494,317,146
CommentStrategy.java,0,0,0,0.000,24,6,0
CsvReader.java,22,58,29,68.476,384,222,74
CsvRowSpliterator.java,1,4,5,6.481,46,35,9
CsvRow.java,4,10,1,10.817,117,53,12
NamedCsvRow.java,4,14,1,14.595,74,40,12
package-info.java,0,0,0,0.000,8,1,0
RowReader.java,65,34,64,97.350,329,260,141
NamedCsvReader.java,14,54,9,56.507,289,154,44
CloseableIterator.java,0,0,2,2.000,12,5,0
RowHandler.java,16,10,7,20.125,69,56,26
MalformedCsvException.java,0,0,0,0.000,19,7,0
MIN,0,0,0,0.000,6,1,0
MAX,65,324,64,325.484,494,340,155
AVG,7.075,34.900,5.875,38.392,102.700,71.650,26.100
